Description,AcquisitionID,AcquisitionStartTimeInSeconds,SamplePeriodInSeconds,SampleTime,ChannelA_Acq00000,ChannelB_Acq00000,ChannelARaw_Acq00000,ChannelBRaw_Acq00000,
,,,,,0.003547429,0.02593515,127,115,
,,,,,0.004458742,0.02593515,127,115,
,,,,,0.00500553,0.02593515,127,115,
,,,,,0.005333602,0.02593515,127,115,
,,,,,0.003511261,0.02593515,126,115,
,,,,,0.002417856,0.02593515,126,115,
,,,,,0.001761813,0.02593515,126,115,
,,,,,0.001368187,0.02593515,126,115,
,,,,,0.001132012,0.02593515,126,115,
,,,,,0.0009903064,0.02593515,126,115,
,,,,,0.0009052832,0.02593515,126,115,
,,,,,0.0008542693,0.02593515,126,115,
,,,,,-0.001195524,0.02593515,125,115,
,,,,,-0.0004062153,0.02593515,126,115,
,,,,,6.737014E-05,0.02593515,126,115,
,,,,,0.0003515214,0.02593515,126,115,
,,,,,0.0005220122,0.02593515,126,115,
,,,,,0.0006243067,0.02593515,126,115,
,,,,,0.0006856833,0.02593515,126,115,
,,,,,0.0007225093,0.02593515,126,115,
,,,,,0.000744605,0.02593515,126,115,
,,,,,0.0007578623,0.02593515,126,115,
,,,,,0.0007658168,0.02593515,126,115,
,,,,,0.0007705895,0.02593515,126,115,
,,,,,0.000773453,0.02593515,126,115,
,,,,,0.0007751712,0.02593515,126,115,
,,,,,0.0007762021,0.02593515,126,115,
,,,,,-0.001242365,0.02593515,125,115,
,,,,,-0.0004343195,0.02593515,126,115,
